Fly	Cross	eye	Cop_start	Cop_end	Duration	Mate	Freeze	Freeze_Day	Freeze_Time	1Egg	1Hatch	2Egg	2Hatch	3Egg	3Hatch	4Egg	4Hatch	DiedEarly	NoYeastFirst	MaybeMixUp	ReasonExclude	eye2	ST	PO	Plug	Egg	SRsperm	STsperm1	STsperm2	FRTabnormal	EyeMismatch	AnnotationMixup	EggOviduct	EggDegen	NoSpermXfer	ExcludeMismatch
144	63x64	full	12:45	13:19	0:34	Y	48	17	15:20	0	0	0	0					N	N	N	N	WT	0	0	Y	N	134			N	N	N	N	N	N	N
145	63x64	full	11:48	12:20	0:32	Y	2	15	2:35	0	0							N	N	N	N															N
146	63x64	full	10:38	11:00	0:22	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	Y	Y	295			N	N	N	N	N	N	N
147	63x64	full	10:46	11:21	0:35	Y	6	15	17:30	0	0							N	N	N	N	WT	0	0	Y	N	412			N	N	N	N	N	N	N
148	63x64	full	10:40	11:17	0:37	Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N	WT	0	0	Y	Y	72			Y	N	N	Y	N	N	N
149	63x64	full	10:54	11:30	0:36	Y	96	19		59	39	35	35	0	0	0	0	N	N	N	N	WT	0	0	N	N	134			N	N	N	N	N	N	N
150	63x64	full	12:23	12:56	0:33	Y	2	15	15:00	0	0							N	N	N	N															N
151	63x4040	dent	11:00	11:30	0:30	Y	96	19		39	28	0	0	50	43	29	20	N	N	N	N	dent	2	2	N	N	81	111	107	N	N	N	N	N	N	N
152	63x4040	dent	10:46	11:07	0:21	Y	24	16	11:40	15	10							N	N	N	N	dent	2	2	Y	N	434	143	160	N	N	N	N	N	N	N
153	63x4040	dent	10:50	11:17	0:27	Y	24	16	11:40	0	0							N	N	N	N	dent	2	2	Y	N	0	0	0	N	N	N	N	N	N	N
154	63x4040	dent				N												N	N	N	N															N
155	63x4040	dent	10:55	11:21	0:26	Y	6	15	17:30	0	0							N	N	N	N	dent	2	2	N	N	523	140	184	N	N	N	N	N	N	N
156	63x4040	dent	10:47	11:17	0:30	Y	24	16	11:40	28	11							N	N	N	N	dent	2	2	N	Y	178	52	56	N	N	N	N	N	N	N
157	63x4040	dent	12:24	12:54	0:30	Y	2	15	15:00	0	0							N	N	N	N															N
158	63x4040	dent	10:47	11:17	0:30	Y	24	16	11:40	31	17							N	N	N	N	dent	2	2	N	Y	140	168	83	N	N	N	N	N	N	N
159	63x4040	dent	11:06	11:31	0:25	Y	96	19	11:40	45	19	0	0	1	1	45	19	N	N	N	N	dent	2	2	N	N	312	99	20	N	N	N	N	N	N	N
160	63x4040	dent	10:50	11:21	0:31	Y	24	16	17:40	41	22							N	N	N	N	dent	2	2	N	Y	373	201	141	N	N	N	N	N	N	N
161	63x4040	dent	11:00	11:26	0:26	Y	6	15	17:30	4	2							N	N	N	N	dent	2	2	N	Y	478	136	146	N	N	N	N	N	N	N
162	63x4040	dent	10:50	11:21	0:31	Y	6	15	17:30	12	3							N	N	N	N	dent	2	2	N	N	453	148	85	N	N	N	N	N	N	N
